datetime,close
2012-03-09,1.371
2012-03-12,1.363
2012-03-13,1.374
2012-03-14,1.341
2012-03-15,1.334
2012-03-16,1.35
2012-03-19,1.352
2012-03-20,1.333
2012-03-21,1.335
2012-03-22,1.335
2012-03-23,1.324
2012-03-26,1.326
2012-03-27,1.326
2012-03-28,1.297
2012-03-29,1.282
2012-03-30,1.294
2012-04-05,1.314
2012-04-06,1.315
2012-04-09,1.304
2012-04-10,1.316
2012-04-11,1.315
2012-04-12,1.339
2012-04-13,1.344
2012-04-16,1.341
2012-04-17,1.325
2012-04-18,1.353
2012-04-19,1.353
2012-04-20,1.369
2012-04-23,1.358
2012-04-24,1.362
2012-04-25,1.368
2012-04-26,1.365
2012-04-27,1.361
2012-05-02,1.383
2012-05-03,1.384
2012-05-04,1.391
2012-05-07,1.39
2012-05-08,1.385
2012-05-09,1.364
2012-05-10,1.364
2012-05-11,1.353
2012-05-14,1.345
2012-05-15,1.342
2012-05-16,1.324
2012-05-17,1.345
2012-05-18,1.329
2012-05-21,1.332
2012-05-22,1.347
2012-05-23,1.342
2012-05-24,1.334
2012-05-25,1.327
2012-05-28,1.341
2012-05-29,1.356
2012-05-30,1.352
2012-05-31,1.345
2012-06-01,1.345
2012-06-04,1.313
2012-06-05,1.314
2012-06-06,1.311
2012-06-07,1.305
2012-06-08,1.297
2012-06-11,1.311
2012-06-12,1.299
2012-06-13,1.315
2012-06-14,1.304
2012-06-15,1.316
2012-06-18,1.32
2012-06-19,1.312
2012-06-20,1.311
2012-06-21,1.288
2012-06-25,1.27
2012-06-26,1.271
2012-06-27,1.267
2012-06-28,1.255
2012-06-29,1.273
2012-06-30,1.273
2012-07-02,1.271
2012-07-03,1.271
2012-07-04,1.275
2012-07-05,1.26
2012-07-06,1.271
2012-07-09,1.242
2012-07-10,1.24
2012-07-11,1.248
2012-07-12,1.257
2012-07-13,1.257
2012-07-16,1.242
2012-07-17,1.252
2012-07-18,1.258
2012-07-19,1.263
2012-07-20,1.251
2012-07-23,1.232
2012-07-24,1.234
2012-07-25,1.227
2012-07-26,1.224
2012-07-27,1.231
2012-07-30,1.228
2012-07-31,1.23
2012-08-01,1.238
2012-08-02,1.233
2012-08-03,1.242
2012-08-06,1.251
2012-08-07,1.248
2012-08-08,1.252
2012-08-09,1.256
2012-08-10,1.252
2012-08-13,1.231
2012-08-14,1.231
2012-08-15,1.216
2012-08-16,1.214
2012-08-17,1.216
2012-08-20,1.211
2012-08-21,1.214
2012-08-22,1.211
2012-08-23,1.212
2012-08-24,1.202
2012-08-27,1.18
2012-08-28,1.193
2012-08-29,1.183
2012-08-30,1.191
2012-08-31,1.186
2012-09-03,1.191
2012-09-04,1.181
2012-09-05,1.175
2012-09-06,1.181
2012-09-07,1.225
2012-09-10,1.226
2012-09-11,1.216
2012-09-12,1.218
2012-09-13,1.21
2012-09-14,1.219
2012-09-17,1.196
2012-09-18,1.185
2012-09-19,1.189
2012-09-20,1.168
2012-09-21,1.172
2012-09-24,1.173
2012-09-25,1.173
2012-09-26,1.165
2012-09-27,1.197
2012-09-28,1.213
2012-10-08,1.204
2012-10-09,1.224
2012-10-10,1.224
2012-10-11,1.215
2012-10-12,1.218
2012-10-15,1.216
2012-10-16,1.215
2012-10-17,1.218
2012-10-18,1.232
2012-10-19,1.228
2012-10-22,1.233
2012-10-23,1.219
2012-10-24,1.219
2012-10-25,1.211
2012-10-26,1.196
2012-10-29,1.19
2012-10-30,1.192
2012-10-31,1.197
2012-11-01,1.217
2012-11-02,1.225
2012-11-05,1.224
2012-11-06,1.221
2012-11-07,1.219
2012-11-08,1.201
2012-11-09,1.198
2012-11-12,1.206
2012-11-13,1.191
2012-11-14,1.196
2012-11-15,1.18
2012-11-16,1.173
2012-11-19,1.177
2012-11-20,1.171
2012-11-21,1.185
2012-11-22,1.179
2012-11-23,1.187
2012-11-26,1.18
2012-11-27,1.172
2012-11-28,1.166
2012-11-29,1.157
2012-11-30,1.166
2012-12-03,1.156
2012-12-04,1.166
2012-12-05,1.199
2012-12-06,1.202
2012-12-07,1.223
2012-12-10,1.232
2012-12-11,1.227
2012-12-12,1.229
2012-12-13,1.219
2012-12-14,1.276
2012-12-17,1.284
2012-12-18,1.284
2012-12-19,1.286
2012-12-20,1.29
2012-12-21,1.28
2012-12-24,1.284
2012-12-25,1.322
2012-12-26,1.32
2012-12-27,1.313
2012-12-28,1.333
2012-12-31,1.359
2013-01-04,1.36
2013-01-07,1.372
2013-01-08,1.36
2013-01-09,1.356
2013-01-10,1.358
2013-01-11,1.335
2013-01-14,1.384
2013-01-15,1.385
2013-01-16,1.37
2013-01-17,1.36
2013-01-18,1.383
2013-01-21,1.396
2013-01-22,1.397
2013-01-23,1.405
2013-01-24,1.399
2013-01-25,1.394
2013-01-28,1.446
2013-01-29,1.465
2013-01-30,1.472
2013-01-31,1.477
2013-02-01,1.52
2013-02-04,1.527
2013-02-05,1.525
2013-02-06,1.527
2013-02-07,1.498
2013-02-08,1.491
2013-02-18,1.48
2013-02-19,1.467
2013-02-20,1.464
2013-02-21,1.408
2013-02-22,1.392
2013-02-25,1.401
2013-02-26,1.387
2013-02-27,1.408
2013-02-28,1.45
2013-03-01,1.443
2013-03-04,1.377
2013-03-05,1.436
2013-03-06,1.451
2013-03-07,1.43
2013-03-08,1.43
2013-03-11,1.413
2013-03-12,1.39
2013-03-13,1.379
2013-03-14,1.383
2013-03-15,1.39
2013-03-18,1.373
2013-03-19,1.39
2013-03-20,1.438
2013-03-21,1.437
2013-03-22,1.439
2013-03-25,1.434
2013-03-26,1.406
2013-03-27,1.412
2013-03-28,1.354
2013-03-29,1.36
2013-04-01,1.354
2013-04-02,1.353
2013-04-03,1.36
2013-04-08,1.349
2013-04-09,1.356
2013-04-10,1.349
2013-04-11,1.348
2013-04-12,1.34
2013-04-15,1.332
2013-04-16,1.333
2013-04-17,1.321
2013-04-18,1.326
2013-04-19,1.373
2013-04-22,1.375
2013-04-23,1.337
2013-04-24,1.36
2013-04-25,1.348
2013-04-26,1.339
2013-05-02,1.344
2013-05-03,1.367
2013-05-06,1.377
2013-05-07,1.378
2013-05-08,1.379
2013-05-09,1.371
2013-05-10,1.38
2013-05-13,1.377
2013-05-14,1.365
2013-05-15,1.371
2013-05-16,1.39
2013-05-17,1.405
2013-05-20,1.418
2013-05-21,1.411
2013-05-22,1.413
2013-05-23,1.39
2013-05-24,1.392
2013-05-27,1.391
2013-05-28,1.417
2013-05-29,1.411
2013-05-30,1.408
2013-05-31,1.399
2013-06-03,1.4
2013-06-04,1.39
2013-06-05,1.38
2013-06-06,1.364
2013-06-07,1.349
2013-06-13,1.314
2013-06-14,1.315
2013-06-17,1.306
2013-06-18,1.312
2013-06-19,1.297
2013-06-20,1.259
2013-06-21,1.261
2013-06-24,1.189
2013-06-25,1.187
2013-06-26,1.176
2013-06-27,1.185
2013-06-28,1.219
2013-07-01,1.219
2013-07-02,1.216
2013-07-03,1.208
2013-07-04,1.213
2013-07-05,1.218
2013-07-08,1.197
2013-07-09,1.202
2013-07-10,1.225
2013-07-11,1.289
2013-07-12,1.256
2013-07-15,1.266
2013-07-16,1.268
2013-07-17,1.253
2013-07-18,1.231
2013-07-19,1.208
2013-07-22,1.21
2013-07-23,1.233
2013-07-24,1.218
2013-07-25,1.214
2013-07-26,1.21
2013-07-29,1.186
2013-07-30,1.2
2013-07-31,1.2
2013-08-01,1.221
2013-08-02,1.219
2013-08-05,1.229
2013-08-06,1.23
2013-08-07,1.225
2013-08-08,1.221
2013-08-09,1.222
2013-08-12,1.263
2013-08-13,1.273
2013-08-14,1.269
2013-08-15,1.261
2013-08-16,1.263
2013-08-19,1.275
2013-08-20,1.269
2013-08-21,1.264
2013-08-22,1.261
2013-08-23,1.248
2013-08-26,1.272
2013-08-27,1.271
2013-08-28,1.266
2013-08-29,1.263
2013-08-30,1.264
2013-09-02,1.267
2013-09-03,1.284
2013-09-04,1.285
2013-09-05,1.284
2013-09-06,1.295
2013-09-09,1.361
2013-09-10,1.373
2013-09-11,1.373
2013-09-12,1.394
2013-09-13,1.37
2013-09-16,1.368
2013-09-17,1.343
2013-09-18,1.343
2013-09-23,1.35
2013-09-24,1.323
2013-09-25,1.316
2013-09-26,1.297
2013-09-27,1.301
2013-09-30,1.308
2013-10-08,1.315
2013-10-09,1.323
2013-10-10,1.301
2013-10-11,1.324
2013-10-14,1.316
2013-10-15,1.309
2013-10-16,1.294
2013-10-17,1.29
2013-10-18,1.294
2013-10-21,1.307
2013-10-22,1.294
2013-10-23,1.292
2013-10-24,1.281
2013-10-25,1.276
2013-10-28,1.276
2013-10-29,1.295
2013-10-30,1.309
2013-10-31,1.292
2013-11-01,1.305
2013-11-04,1.299
2013-11-06,1.281
2013-11-07,1.282
2013-11-08,1.269
2013-11-11,1.269
2013-11-12,1.28
2013-11-13,1.249
2013-11-14,1.248
2013-11-15,1.266
2013-11-19,1.305
2013-11-20,1.307
2013-11-21,1.303
2013-11-22,1.299
2013-11-25,1.29
2013-11-26,1.288
2013-11-27,1.299
2013-11-28,1.307
2013-11-29,1.304
2013-12-02,1.322
2013-12-03,1.321
2013-12-04,1.33
2013-12-05,1.325
2013-12-06,1.318
2013-12-09,1.314
2013-12-10,1.319
2013-12-11,1.297
2013-12-12,1.292
2013-12-13,1.285
2013-12-16,1.273
2013-12-17,1.269
2013-12-18,1.267
2013-12-19,1.256
2013-12-20,1.232
2013-12-23,1.234
2013-12-24,1.236
2013-12-25,1.239
2013-12-26,1.221
2013-12-27,1.242
2013-12-30,1.237
2013-12-31,1.248
2014-01-02,1.244
2014-01-03,1.227
2014-01-06,1.202
2014-01-08,1.204
2014-01-09,1.195
2014-01-10,1.192
2014-01-13,1.193
2014-01-14,1.2
2014-01-15,1.195
2014-01-16,1.198
2014-01-17,1.187
2014-01-20,1.179
2014-01-21,1.184
2014-01-22,1.206
2014-01-23,1.199
2014-01-24,1.206
2014-01-27,1.199
2014-01-28,1.201
2014-01-29,1.211
2014-01-30,1.201
2014-02-07,1.204
2014-02-10,1.228
2014-02-11,1.238
2014-02-12,1.242
2014-02-13,1.241
2014-02-14,1.249
2014-02-17,1.253
2014-02-18,1.241
2014-02-19,1.254
2014-02-20,1.255
2014-02-21,1.242
2014-02-24,1.225
2014-02-25,1.202
2014-02-26,1.205
2014-02-27,1.216
2014-02-28,1.216
2014-03-03,1.223
2014-03-04,1.218
2014-03-05,1.208
2014-03-06,1.211
2014-03-07,1.208
2014-03-10,1.176
2014-03-11,1.176
2014-03-12,1.176
2014-03-13,1.193
2014-03-14,1.189
2014-03-17,1.199
2014-03-18,1.2
2014-03-19,1.196
2014-03-20,1.179
2014-03-21,1.206
2014-03-24,1.216
2014-03-25,1.216
2014-03-26,1.214
2014-03-27,1.206
2014-03-28,1.204
2014-03-31,1.202
2014-04-01,1.209
2014-04-02,1.216
2014-04-03,1.204
2014-04-04,1.211
2014-04-08,1.231
2014-04-09,1.236
2014-04-10,1.251
2014-04-11,1.251
2014-04-14,1.248
2014-04-15,1.231
2014-04-16,1.232
2014-04-17,1.229
2014-04-21,1.213
2014-04-22,1.218
2014-04-23,1.217
2014-04-24,1.215
2014-04-25,1.207
2014-04-28,1.196
2014-04-29,1.206
2014-04-30,1.209
2014-05-05,1.209
2014-05-06,1.211
2014-05-07,1.202
2014-05-08,1.202
2014-05-09,1.199
2014-05-12,1.221
2014-05-13,1.217
2014-05-14,1.216
2014-05-15,1.207
2014-05-16,1.208
2014-05-19,1.199
2014-05-20,1.199
2014-05-21,1.209
2014-05-22,1.205
2014-05-23,1.212
2014-05-26,1.218
2014-05-27,1.216
2014-05-28,1.223
2014-05-29,1.214
2014-05-30,1.212
2014-06-03,1.212
2014-06-04,1.203
2014-06-05,1.212
2014-06-06,1.206
2014-06-09,1.206
2014-06-10,1.218
2014-06-11,1.218
2014-06-12,1.214
2014-06-13,1.225
2014-06-16,1.236
2014-06-17,1.229
2014-06-18,1.221
2014-06-19,1.205
2014-06-20,1.213
2014-06-23,1.212
2014-06-24,1.214
2014-06-25,1.212
2014-06-26,1.218
2014-06-27,1.218
2014-06-30,1.227
2014-07-01,1.226
2014-07-02,1.231
2014-07-03,1.235
2014-07-04,1.233
2014-07-07,1.233
2014-07-08,1.237
2014-07-09,1.223
2014-07-10,1.223
2014-07-11,1.228
2014-07-14,1.242
2014-07-15,1.244
2014-07-16,1.244
2014-07-17,1.238
2014-07-18,1.242
2014-07-21,1.24
2014-07-22,1.252
2014-07-23,1.254
2014-07-24,1.273
2014-07-25,1.283
2014-07-28,1.311
2014-07-29,1.314
2014-07-30,1.309
2014-07-31,1.322
2014-08-01,1.316
2014-08-04,1.335
2014-08-05,1.335
2014-08-06,1.333
2014-08-07,1.316
2014-08-08,1.321
2014-08-11,1.342
2014-08-12,1.34
2014-08-13,1.34
2014-08-14,1.331
2014-08-15,1.338
2014-08-18,1.343
2014-08-19,1.346
2014-08-20,1.341
2014-08-21,1.333
2014-08-22,1.337
2014-08-25,1.328
2014-08-26,1.32
2014-08-27,1.318
2014-08-28,1.311
2014-08-29,1.324
2014-09-01,1.332
2014-09-02,1.345
2014-09-03,1.355
2014-09-04,1.362
2014-09-05,1.377
2014-09-09,1.377
2014-09-10,1.37
2014-09-11,1.369
2014-09-12,1.375
2014-09-15,1.379
2014-09-16,1.359
2014-09-17,1.362
2014-09-18,1.367
2014-09-19,1.373
2014-09-22,1.356
2014-09-23,1.362
2014-09-24,1.38
2014-09-25,1.381
2014-09-26,1.381
2014-09-29,1.388
2014-09-30,1.392
2014-10-08,1.4
2014-10-09,1.4
2014-10-10,1.39
2014-10-13,1.383
2014-10-14,1.381
2014-10-15,1.387
2014-10-16,1.382
2014-10-17,1.378
2014-10-20,1.385
2014-10-21,1.375
2014-10-22,1.368
2014-10-23,1.354
2014-10-24,1.353
2014-10-27,1.343
2014-10-28,1.367
2014-10-29,1.387
2014-10-30,1.406
2014-10-31,1.426
2014-11-03,1.435
2014-11-04,1.433
2014-11-05,1.431
2014-11-06,1.434
2014-11-07,1.432
2014-11-10,1.468
2014-11-11,1.465
2014-11-12,1.483
2014-11-13,1.478
2014-11-14,1.474
2014-11-17,1.472
2014-11-18,1.459
2014-11-19,1.453
2014-11-20,1.452
2014-11-21,1.472
2014-11-24,1.494
2014-11-25,1.52
2014-11-26,1.532
2014-11-27,1.539
2014-11-28,1.574
2014-12-01,1.577
2014-12-02,1.621
2014-12-03,1.624
2014-12-04,1.686
2014-12-05,1.695
2014-12-08,1.738
2014-12-09,1.666
2014-12-10,1.728
2014-12-11,1.73
2014-12-12,1.727
2014-12-15,1.725
2014-12-16,1.76
2014-12-17,1.786
2014-12-18,1.784
2014-12-19,1.837
2014-12-22,1.868
2014-12-23,1.796
2014-12-24,1.759
2014-12-25,1.817
2014-12-26,1.85
2014-12-29,1.846
2014-12-30,1.831
2014-12-31,1.868
2015-01-05,1.94
2015-01-06,1.947
2015-01-07,1.94
2015-01-08,1.892
2015-01-09,1.883
2015-01-12,1.843
2015-01-13,1.852
2015-01-14,1.847
2015-01-15,1.899
2015-01-16,1.911
2015-01-19,1.759
2015-01-20,1.791
2015-01-21,1.856
2015-01-22,1.858
2015-01-23,1.855
2015-01-26,1.871
2015-01-27,1.864
2015-01-28,1.849
2015-01-29,1.837
2015-01-30,1.816
2015-02-02,1.773
2015-02-03,1.801
2015-02-04,1.788
2015-02-05,1.76
2015-02-06,1.721
2015-02-09,1.722
2015-02-10,1.752
2015-02-11,1.757
2015-02-12,1.759
2015-02-13,1.776
2015-02-16,1.784
2015-02-17,1.799
2015-02-25,1.796
2015-02-26,1.835
2015-02-27,1.837
2015-03-02,1.856
2015-03-03,1.832
2015-03-04,1.837
2015-03-05,1.816
2015-03-06,1.817
2015-03-09,1.861
2015-03-10,1.854
2015-03-11,1.858
2015-03-12,1.892
2015-03-13,1.905
2015-03-16,1.938
2015-03-17,1.968
2015-03-18,2.02
2015-03-19,2.027
2015-03-20,2.044
2015-03-23,2.086
2015-03-24,2.103
2015-03-25,2.085
2015-03-26,2.081
2015-03-27,2.092
2015-03-30,2.141
2015-03-31,2.119
2015-04-01,2.155
2015-04-02,2.181
2015-04-03,2.216
2015-04-07,2.286
2015-04-08,2.317
2015-04-09,2.3
2015-04-10,2.354
2015-04-13,2.381
2015-04-14,2.393
2015-04-15,2.362
2015-04-16,2.423
2015-04-17,2.453
2015-04-20,2.4
2015-04-21,2.438
2015-04-22,2.501
2015-04-23,2.514
2015-04-24,2.473
2015-04-27,2.517
2015-04-28,2.476
2015-04-29,2.483
2015-04-30,2.473
2015-05-04,2.515
2015-05-05,2.407
2015-05-06,2.358
2015-05-07,2.284
2015-05-08,2.335
2015-05-11,2.406
2015-05-12,2.434
2015-05-13,2.423
2015-05-14,2.425
2015-05-15,2.39
2015-05-18,2.369
2015-05-19,2.436
2015-05-20,2.457
2015-05-21,2.511
2015-05-22,2.569
2015-05-25,2.649
2015-05-26,2.688
2015-05-27,2.689
2015-05-28,2.516
2015-05-29,2.512
2015-06-01,2.656
2015-06-02,2.712
2015-06-03,2.707
2015-06-04,2.744
2015-06-05,2.797
2015-06-08,2.856
2015-06-09,2.861
2015-06-10,2.853
2015-06-11,2.854
2015-06-12,2.917
2015-06-15,2.907
2015-06-16,2.801
2015-06-17,2.865
2015-06-18,2.806
2015-06-19,2.63
2015-06-23,2.655
2015-06-24,2.729
2015-06-25,2.637
2015-06-26,2.451
2015-06-29,2.393
2015-06-30,2.518
2015-07-01,2.375
2015-07-02,2.28
2015-07-03,2.138
2015-07-06,2.197
2015-07-07,2.167
2015-07-08,2.047
2015-07-09,2.174
2015-07-10,2.288
2015-07-13,2.354
2015-07-14,2.312
2015-07-15,2.229
2015-07-16,2.241
2015-07-17,2.31
2015-07-20,2.315
2015-07-21,2.334
2015-07-22,2.33
2015-07-23,2.37
2015-07-24,2.333
2015-07-27,2.155
2015-07-28,2.148
2015-07-29,2.223
2015-07-30,2.184
2015-07-31,2.184
2015-08-03,2.215
2015-08-04,2.273
2015-08-05,2.228
2015-08-06,2.211
2015-08-07,2.246
2015-08-10,2.334
2015-08-11,2.328
2015-08-12,2.285
2015-08-13,2.321
2015-08-14,2.314
2015-08-17,2.345
2015-08-18,2.199
2015-08-19,2.241
2015-08-20,2.17
2015-08-21,2.071
2015-08-24,1.898
2015-08-25,1.759
2015-08-26,1.757
2015-08-27,1.855
2015-08-28,1.936
2015-08-31,1.93
2015-09-01,1.921
2015-09-02,1.94
2015-09-07,1.883
2015-09-08,1.932
2015-09-09,1.964
2015-09-10,1.932
2015-09-11,1.926
2015-09-14,1.877
2015-09-15,1.812
2015-09-16,1.894
2015-09-17,1.852
2015-09-18,1.858
2015-09-21,1.881
2015-09-22,1.893
2015-09-23,1.849
2015-09-24,1.864
2015-09-25,1.841
2015-09-28,1.848
2015-09-29,1.813
2015-09-30,1.828
2015-10-08,1.871
2015-10-09,1.89
2015-10-12,1.947
2015-10-13,1.948
2015-10-14,1.925
2015-10-15,1.967
2015-10-16,1.994
2015-10-19,2.001
2015-10-20,2.012
2015-10-21,1.961
2015-10-22,1.983
2015-10-23,2.009
2015-10-26,2.017
2015-10-27,2.018
2015-10-28,2
2015-10-29,2.005
2015-10-30,1.997
2015-11-02,1.968
2015-11-03,1.957
2015-11-04,2.025
2015-11-05,2.065
2015-11-06,2.093
2015-11-09,2.126
2015-11-10,2.131
2015-11-11,2.128
2015-11-12,2.101
2015-11-13,2.075
2015-11-16,2.094
2015-11-17,2.094
2015-11-18,2.083
2015-11-19,2.103
2015-11-20,2.103
2015-11-23,2.101
2015-11-24,2.1
2015-11-25,2.117
2015-11-26,2.107
2015-11-27,2.012
2015-11-30,2.018
2015-12-01,2.021
2015-12-02,2.078
2015-12-03,2.094
2015-12-04,2.054
2015-12-07,2.059
2015-12-08,2.02
2015-12-09,2.027
2015-12-10,2.016
2015-12-11,2
2015-12-14,2.04
2015-12-15,2.032
2015-12-16,2.029
2015-12-17,2.064
2015-12-18,2.063
2015-12-21,2.109
2015-12-22,2.114
2015-12-23,2.11
2015-12-24,2.091
2015-12-25,2.099
2015-12-28,2.051
2015-12-29,2.065
2015-12-30,2.069
2016-01-04,1.937
2016-01-05,1.947
2016-01-06,1.992
2016-01-07,1.872
2016-01-08,1.915
2016-01-11,1.828
2016-01-12,1.828
2016-01-13,1.801
2016-01-14,1.832
2016-01-15,1.774
2016-01-18,1.773
2016-01-19,1.818
2016-01-20,1.795
2016-01-21,1.75
2016-01-22,1.768
2016-01-25,1.778
2016-01-26,1.683
2016-01-27,1.68
2016-01-28,1.646
2016-01-29,1.684
2016-02-01,1.664
2016-02-02,1.691
2016-02-03,1.681
2016-02-04,1.698
2016-02-05,1.695
2016-02-15,1.685
2016-02-16,1.726
2016-02-17,1.742
2016-02-18,1.741
2016-02-19,1.735
2016-02-22,1.769
2016-02-23,1.757
2016-02-24,1.766
2016-02-25,1.672
2016-02-26,1.689
2016-02-29,1.665
2016-03-01,1.689
2016-03-02,1.753
2016-03-03,1.757
2016-03-04,1.773
2016-03-07,1.784
2016-03-08,1.784
2016-03-09,1.766
2016-03-10,1.736
2016-03-11,1.736
2016-03-14,1.757
2016-03-15,1.765
2016-03-16,1.778
2016-03-17,1.787
2016-03-18,1.803
2016-03-21,1.822
2016-03-22,1.816
2016-03-23,1.812
2016-03-24,1.786
2016-03-25,1.795
2016-03-28,1.786
2016-03-29,1.769
2016-03-30,1.807
2016-03-31,1.807
2016-04-01,1.814
2016-04-05,1.837
2016-04-06,1.836
2016-04-07,1.814
2016-04-08,1.805
2016-04-11,1.83
2016-04-12,1.824
2016-04-13,1.848
2016-04-14,1.852
2016-04-15,1.849
2016-04-18,1.833
2016-04-19,1.837
2016-04-20,1.814
2016-04-21,1.809
2016-04-22,1.81
2016-04-25,1.812
2016-04-26,1.818
2016-04-27,1.808
2016-04-28,1.809
2016-04-29,1.803
2016-05-03,1.824
2016-05-04,1.818
2016-05-05,1.816
2016-05-06,1.775
2016-05-09,1.734
2016-05-10,1.733
2016-05-11,1.742
2016-05-12,1.746
2016-05-13,1.746
2016-05-16,1.754
2016-05-17,1.75
2016-05-18,1.736
2016-05-19,1.735
2016-05-20,1.74
2016-05-23,1.744
2016-05-24,1.736
2016-05-25,1.737
2016-05-26,1.74
2016-05-27,1.745
2016-05-30,1.748
2016-05-31,1.789
2016-06-01,1.784
2016-06-02,1.788
2016-06-03,1.793
2016-06-06,1.791
2016-06-07,1.788
2016-06-08,1.783
2016-06-13,1.744
2016-06-14,1.749
2016-06-15,1.766
2016-06-16,1.756
2016-06-17,1.766
2016-06-20,1.767
2016-06-21,1.767
2016-06-22,1.778
2016-06-23,1.772
2016-06-24,1.752
2016-06-27,1.768
2016-06-28,1.771
2016-06-29,1.779
2016-06-30,1.781
2016-07-01,1.786
2016-07-04,1.814
2016-07-05,1.82
2016-07-06,1.819
2016-07-07,1.819
2016-07-08,1.811
2016-07-11,1.817
2016-07-12,1.857
2016-07-13,1.866
2016-07-14,1.858
2016-07-15,1.863
2016-07-18,1.869
2016-07-19,1.864
2016-07-20,1.858
2016-07-21,1.87
2016-07-22,1.857
2016-07-25,1.864
2016-07-26,1.883
2016-07-27,1.868
2016-07-28,1.884
2016-07-29,1.881
2016-08-01,1.871
2016-08-02,1.877
2016-08-03,1.877
2016-08-04,1.877
2016-08-05,1.877
2016-08-08,1.894
2016-08-09,1.907
2016-08-10,1.902
2016-08-11,1.898
2016-08-12,1.936
2016-08-15,1.974
2016-08-16,1.957
2016-08-17,1.961
2016-08-18,1.955
2016-08-19,1.96
2016-08-22,1.951
2016-08-23,1.949
2016-08-24,1.947
2016-08-25,1.938
2016-08-26,1.936
2016-08-29,1.935
2016-08-30,1.938
2016-08-31,1.946
2016-09-01,1.934
2016-09-02,1.938
2016-09-05,1.944
2016-09-06,1.949
2016-09-07,1.953
2016-09-08,1.957
2016-09-09,1.944
2016-09-12,1.919
2016-09-13,1.916
2016-09-14,1.9
2016-09-19,1.916
2016-09-20,1.92
2016-09-21,1.92
2016-09-22,1.932
2016-09-23,1.925
2016-09-26,1.901
2016-09-27,1.908
2016-09-28,1.906
2016-09-29,1.91
2016-09-30,1.909
2016-10-10,1.936
2016-10-11,1.941
2016-10-12,1.935
2016-10-13,1.942
2016-10-14,1.942
2016-10-17,1.93
2016-10-18,1.955
2016-10-19,1.954
2016-10-20,1.955
2016-10-21,1.965
2016-10-24,1.986
2016-10-25,1.988
2016-10-26,1.974
2016-10-27,1.973
2016-10-28,1.966
2016-10-31,1.965
2016-11-01,1.974
2016-11-02,1.959
2016-11-03,1.972
2016-11-04,1.97
2016-11-07,1.978
2016-11-08,1.985
2016-11-09,1.974
2016-11-10,1.997
2016-11-11,2.007
2016-11-14,2.012
2016-11-15,2.007
2016-11-16,2.008
2016-11-17,2.014
2016-11-18,2.008
2016-11-21,2.023
2016-11-22,2.041
2016-11-23,2.042
2016-11-24,2.049
2016-11-25,2.068
2016-11-28,2.079
2016-11-29,2.09
2016-11-30,2.065
2016-12-01,2.082
2016-12-02,2.068
2016-12-05,2.048
2016-12-06,2.041
2016-12-07,2.05
2016-12-08,2.051
2016-12-09,2.066
2016-12-12,2.041
2016-12-13,2.028
2016-12-14,2.018
2016-12-15,1.986
2016-12-16,1.987
2016-12-19,1.983
2016-12-20,1.972
2016-12-21,1.99
2016-12-22,1.993
2016-12-23,1.978
2016-12-26,1.982
2016-12-27,1.977
2016-12-28,1.972
2016-12-29,1.97
2016-12-30,1.978
2016-12-31,1.978
2017-01-03,1.993
2017-01-04,2.006
2017-01-05,2.009
2017-01-06,2.005
2017-01-09,2.014
2017-01-10,2.007
2017-01-11,1.995
2017-01-12,1.988
2017-01-13,1.998
2017-01-16,2.016
2017-01-17,2.014
2017-01-18,2.022
2017-01-19,2.018
2017-01-20,2.029
2017-01-23,2.029
2017-01-24,2.038
2017-01-25,2.043
2017-01-26,2.044
2017-02-03,2.029
2017-02-06,2.035
2017-02-07,2.035
2017-02-08,2.04
2017-02-09,2.046
2017-02-10,2.058
2017-02-13,2.063
2017-02-14,2.059
2017-02-15,2.065
2017-02-16,2.072
2017-02-17,2.058
2017-02-20,2.084
2017-02-21,2.086
2017-02-22,2.095
2017-02-23,2.089
2017-02-24,2.086
2017-02-27,2.073
2017-02-28,2.079
2017-03-01,2.079
2017-03-02,2.071
2017-03-03,2.07
2017-03-06,2.072
2017-03-07,2.073
2017-03-08,2.07
2017-03-09,2.0567
2017-03-10,2.0557
2017-03-13,2.074
2017-03-14,2.0752
2017-03-15,2.0804
2017-03-16,2.0854
2017-03-17,2.0648
2017-03-20,2.0745
2017-03-21,2.0854
2017-03-22,2.0718
2017-03-23,2.0742
2017-03-24,2.0915
2017-03-27,2.0918
2017-03-28,2.0854
2017-03-29,2.084
2017-03-30,2.08
2017-03-31,2.0961
2017-04-05,2.1161
2017-04-06,2.1177
2017-04-07,2.1196
2017-04-10,2.12
2017-04-11,2.1213
2017-04-12,2.116
2017-04-13,2.1174
2017-04-14,2.1037
2017-04-17,2.0973
2017-04-18,2.0854
2017-04-19,2.0753
2017-04-20,2.0812
2017-04-21,2.0917
2017-04-24,2.0787
2017-04-25,2.0803
2017-04-26,2.0831
2017-04-27,2.0831
2017-04-28,2.075
2017-05-02,2.0629
2017-05-03,2.055
2017-05-04,2.0517
2017-05-05,2.0482
2017-05-08,2.0491
2017-05-09,2.0474
2017-05-10,2.0359
2017-05-11,2.0481
2017-05-12,2.065
2017-05-15,2.0762
2017-05-16,2.0853
2017-05-17,2.0767
2017-05-19,2.0698
2017-05-22,2.0729
2017-05-23,2.0854
2017-05-24,2.0855
2017-05-25,2.1118
2017-05-26,2.118
2017-05-31,2.1244
2017-06-01,2.1322
2017-06-02,2.1309
2017-06-05,2.1155
